date,store,item,sales
2023-01-16,Store-2,Boots,25
2023-01-16,Store-2,Jeans,24
2023-01-16,Store-2,Tshirt,29
2023-01-16,Store-2,Scarf,24
2023-01-16,Store-3,Jacket,34
2023-01-16,Store-3,Sweater,29
2023-01-16,Store-3,Boots,24
2023-01-16,Store-3,Jeans,19
2023-01-16,Store-3,Tshirt,23
2023-01-16,Store-3,Scarf,21
2023-01-17,Store-1,Jacket,39
2023-01-17,Store-1,Sweater,30
2023-01-17,Store-1,Boots,23
2023-01-17,Store-1,Jeans,21
2023-01-17,Store-1,Tshirt,24
2023-01-17,Store-1,Scarf,25
2023-01-17,Store-2,Jacket,40
2023-01-17,Store-2,Sweater,32
2023-01-17,Store-2,Boots,28
2023-01-17,Store-2,Jeans,22
2023-01-17,Store-2,Tshirt,27
2023-01-17,Store-2,Scarf,23
2023-01-17,Store-3,Jacket,36
2023-01-17,Store-3,Sweater,28
2023-01-17,Store-3,Boots,26
2023-01-17,Store-3,Jeans,17
2023-01-17,Store-3,Tshirt,24
2023-01-17,Store-3,Scarf,20
2023-01-18,Store-1,Jacket,39
2023-01-18,Store-1,Sweater,33
2023-01-18,Store-1,Boots,27
2023-01-18,Store-1,Jeans,19
2023-01-18,Store-1,Tshirt,26
2023-01-18,Store-1,Scarf,22
2023-01-18,Store-2,Jacket,41
2023-01-18,Store-2,Sweater,34
2023-01-18,Store-2,Boots,29
2023-01-18,Store-2,Jeans,23
2023-01-18,Store-2,Tshirt,29
2023-01-18,Store-2,Scarf,25
2023-01-18,Store-3,Jacket,35
2023-01-18,Store-3,Sweater,32
2023-01-18,Store-3,Boots,26
2023-01-18,Store-3,Jeans,19
2023-01-18,Store-3,Tshirt,22
2023-01-18,Store-3,Scarf,21
2023-01-19,Store-1,Jacket,38
2023-01-19,Store-1,Sweater,35
2023-01-19,Store-1,Boots,26
2023-01-19,Store-1,Jeans,19
2023-01-19,Store-1,Tshirt,25
2023-01-19,Store-1,Scarf,24
2023-01-19,Store-2,Jacket,41
2023-01-19,Store-2,Sweater,39
2023-01-19,Store-2,Boots,27
2023-01-19,Store-2,Jeans,25
2023-01-19,Store-2,Tshirt,26
2023-01-19,Store-2,Scarf,24
2023-01-19,Store-3,Jacket,35
2023-01-19,Store-3,Sweater,29
2023-01-19,Store-3,Boots,24
2023-01-19,Store-3,Jeans,18
2023-01-19,Store-3,Tshirt,21
2023-01-19,Store-3,Scarf,23
2023-01-20,Store-1,Jacket,37
2023-01-20,Store-1,Sweater,31
2023-01-20,Store-1,Boots,25
2023-01-20,Store-1,Jeans,21
2023-01-20,Store-1,Tshirt,25
2023-01-20,Store-1,Scarf,21
2023-01-20,Store-2,Jacket,39
2023-01-20,Store-2,Sweater,38
2023-01-20,Store-2,Boots,27
2023-01-20,Store-2,Jeans,25
2023-01-20,Store-2,Tshirt,31
2023-01-20,Store-2,Scarf,24
2023-01-20,Store-3,Jacket,33
2023-01-20,Store-3,Sweater,33
2023-01-20,Store-3,Boots,26
2023-01-20,Store-3,Jeans,19
2023-01-20,Store-3,Tshirt,24
2023-01-20,Store-3,Scarf,23
2023-01-21,Store-1,Jacket,42
2023-01-21,Store-1,Sweater,35
2023-01-21,Store-1,Boots,26
2023-01-21,Store-1,Jeans,22
2023-01-21,Store-1,Tshirt,31
2023-01-21,Store-1,Scarf,27
2023-01-21,Store-2,Jacket,49
2023-01-21,Store-2,Sweater,40
2023-01-21,Store-2,Boots,29
2023-01-21,Store-2,Jeans,26
2023-01-21,Store-2,Tshirt,30
2023-01-21,Store-2,Scarf,28
2023-01-21,Store-3,Jacket,36
2023-01-21,Store-3,Sweater,31
2023-01-21,Store-3,Boots,29
2023-01-21,Store-3,Jeans,20
2023-01-21,Store-3,Tshirt,26
2023-01-21,Store-3,Scarf,28
2023-01-22,Store-1,Jacket,44
2023-01-22,Store-1,Sweater,39
2023-01-22,Store-1,Boots,28
2023-01-22,Store-1,Jeans,24
2023-01-22,Store-1,Tshirt,27
2023-01-22,Store-1,Scarf,28
2023-01-22,Store-2,Jacket,44
2023-01-22,Store-2,Sweater,40
2023-01-22,Store-2,Boots,28
2023-01-22,Store-2,Jeans,24
2023-01-22,Store-2,Tshirt,34
2023-01-22,Store-2,Scarf,26
2023-01-22,Store-3,Jacket,40
2023-01-22,Store-3,Sweater,37
2023-01-22,Store-3,Boots,28
2023-01-22,Store-3,Jeans,23
2023-01-22,Store-3,Tshirt,29
2023-01-22,Store-3,Scarf,26
2023-01-23,Store-1,Jacket,40
2023-01-23,Store-1,Sweater,32
2023-01-23,Store-1,Boots,25
2023-01-23,Store-1,Jeans,21
2023-01-23,Store-1,Tshirt,26
2023-01-23,Store-1,Scarf,24
2023-01-23,Store-2,Jacket,45
2023-01-23,Store-2,Sweater,38
2023-01-23,Store-2,Boots,28
2023-01-23,Store-2,Jeans,21
2023-01-23,Store-2,Tshirt,30
2023-01-23,Store-2,Scarf,26
2023-01-23,Store-3,Jacket,38
2023-01-23,Store-3,Sweater,29
2023-01-23,Store-3,Boots,25
2023-01-23,Store-3,Jeans,20
2023-01-23,Store-3,Tshirt,24
2023-01-23,Store-3,Scarf,23
2023-01-24,Store-1,Jacket,37
2023-01-24,Store-1,Sweater,35
2023-01-24,Store-1,Boots,23
2023-01-24,Store-1,Jeans,19
2023-01-24,Store-1,Tshirt,27
2023-01-24,Store-1,Scarf,22
2023-01-24,Store-2,Jacket,42
2023-01-24,Store-2,Sweater,39
2023-01-24,Store-2,Boots,30
2023-01-24,Store-2,Jeans,21
2023-01-24,Store-2,Tshirt,31
2023-01-24,Store-2,Scarf,24
2023-01-24,Store-3,Jacket,38
2023-01-24,Store-3,Sweater,30
2023-01-24,Store-3,Boots,22
2023-01-24,Store-3,Jeans,20
2023-01-24,Store-3,Tshirt,21
2023-01-24,Store-3,Scarf,23
2023-01-25,Store-1,Jacket,38
2023-01-25,Store-1,Sweater,36
2023-01-25,Store-1,Boots,23
2023-01-25,Store-1,Jeans,20
2023-01-25,Store-1,Tshirt,26
2023-01-25,Store-1,Scarf,22
2023-01-25,Store-2,Jacket,39
2023-01-25,Store-2,Sweater,34
2023-01-25,Store-2,Boots,29
2023-01-25,Store-2,Jeans,21
2023-01-25,Store-2,Tshirt,27
2023-01-25,Store-2,Scarf,24
2023-01-25,Store-3,Jacket,34
2023-01-25,Store-3,Sweater,31
2023-01-25,Store-3,Boots,26
2023-01-25,Store-3,Jeans,19
2023-01-25,Store-3,Tshirt,22
2023-01-25,Store-3,Scarf,24
2023-01-26,Store-1,Jacket,37
2023-01-26,Store-1,Sweater,33
2023-01-26,Store-1,Boots,25
2023-01-26,Store-1,Jeans,18
2023-01-26,Store-1,Tshirt,24
2023-01-26,Store-1,Scarf,24
2023-01-26,Store-2,Jacket,45
2023-01-26,Store-2,Sweater,39
2023-01-26,Store-2,Boots,30
2023-01-26,Store-2,Jeans,22
2023-01-26,Store-2,Tshirt,27
2023-01-26,Store-2,Scarf,24
2023-01-26,Store-3,Jacket,38
2023-01-26,Store-3,Sweater,33
2023-01-26,Store-3,Boots,22
2023-01-26,Store-3,Jeans,20
2023-01-26,Store-3,Tshirt,23
2023-01-26,Store-3,Scarf,23
2023-01-27,Store-1,Jacket,40
2023-01-27,Store-1,Sweater,35
2023-01-27,Store-1,Boots,24
2023-01-27,Store-1,Jeans,22
2023-01-27,Store-1,Tshirt,23
2023-01-27,Store-1,Scarf,23
2023-01-27,Store-2,Jacket,43
2023-01-27,Store-2,Sweater,36
2023-01-27,Store-2,Boots,29
2023-01-27,Store-2,Jeans,23
2023-01-27,Store-2,Tshirt,30
2023-01-27,Store-2,Scarf,23
2023-01-27,Store-3,Jacket,34
2023-01-27,Store-3,Sweater,28
2023-01-27,Store-3,Boots,22
2023-01-27,Store-3,Jeans,17
2023-01-27,Store-3,Tshirt,23
2023-01-27,Store-3,Scarf,22
2023-01-28,Store-1,Jacket,40
2023-01-28,Store-1,Sweater,36
2023-01-28,Store-1,Boots,30
2023-01-28,Store-1,Jeans,22
2023-01-28,Store-1,Tshirt,30
2023-01-28,Store-1,Scarf,28
2023-01-28,Store-2,Jacket,44
2023-01-28,Store-2,Sweater,42
2023-01-28,Store-2,Boots,34
2023-01-28,Store-2,Jeans,26
2023-01-28,Store-2,Tshirt,31
2023-01-28,Store-2,Scarf,27
2023-01-28,Store-3,Jacket,39
2023-01-28,Store-3,Sweater,35
2023-01-28,Store-3,Boots,26
2023-01-28,Store-3,Jeans,21
2023-01-28,Store-3,Tshirt,29
2023-01-28,Store-3,Scarf,25
2023-01-29,Store-1,Jacket,44
2023-01-29,Store-1,Sweater,37
2023-01-29,Store-1,Boots,29
2023-01-29,Store-1,Jeans,26
2023-01-29,Store-1,Tshirt,29
2023-01-29,Store-1,Scarf,28
2023-01-29,Store-2,Jacket,42
2023-01-29,Store-2,Sweater,40
2023-01-29,Store-2,Boots,29
2023-01-29,Store-2,Jeans,28
2023-01-29,Store-2,Tshirt,36
2023-01-29,Store-2,Scarf,26
2023-01-29,Store-3,Jacket,38
2023-01-29,Store-3,Sweater,36
2023-01-29,Store-3,Boots,27
2023-01-29,Store-3,Jeans,23
2023-01-29,Store-3,Tshirt,27
2023-01-29,Store-3,Scarf,28
2023-01-30,Store-1,Jacket,35
2023-01-30,Store-1,Sweater,33
2023-01-30,Store-1,Boots,24
2023-01-30,Store-1,Jeans,20
2023-01-30,Store-1,Tshirt,25
2023-01-30,Store-1,Scarf,22
2023-01-30,Store-2,Jacket,43
2023-01-30,Store-2,Sweater,34
2023-01-30,Store-2,Boots,25
2023-01-30,Store-2,Jeans,23
2023-01-30,Store-2,Tshirt,26
2023-01-30,Store-2,Scarf,23
2023-01-30,Store-3,Jacket,33
2023-01-30,Store-3,Sweater,29
2023-01-30,Store-3,Boots,22
2023-01-30,Store-3,Jeans,19
2023-01-30,Store-3,Tshirt,22
2023-01-30,Store-3,Scarf,23
2023-01-31,Store-1,Jacket,34
2023-01-31,Store-1,Sweater,32
2023-01-31,Store-1,Boots,23
2023-01-31,Store-1,Jeans,21
2023-01-31,Store-1,Tshirt,23
2023-01-31,Store-1,Scarf,21
2023-01-31,Store-2,Jacket,42
2023-01-31,Store-2,Sweater,37
2023-01-31,Store-2,Boots,29
2023-01-31,Store-2,Jeans,25
2023-01-31,Store-2,Tshirt,26
2023-01-31,Store-2,Scarf,25
2023-01-31,Store-3,Jacket,38
2023-01-31,Store-3,Sweater,33
2023-01-31,Store-3,Boots,22
2023-01-31,Store-3,Jeans,17
2023-01-31,Store-3,Tshirt,25
2023-01-31,Store-3,Scarf,21
2023-02-01,Store-1,Jacket,32
2023-02-01,Store-1,Sweater,29
2023-02-01,Store-1,Boots,22
2023-02-01,Store-1,Jeans,17
2023-02-01,Store-1,Tshirt,22
2023-02-01,Store-1,Scarf,20
2023-02-01,Store-2,Jacket,40
2023-02-01,Store-2,Sweater,34
2023-02-01,Store-2,Boots,25
2023-02-01,Store-2,Jeans,19
2023-02-01,Store-2,Tshirt,26
2023-02-01,Store-2,Scarf,24
2023-02-01,Store-3,Jacket,36
2023-02-01,Store-3,Sweater,29
2023-02-01,Store-3,Boots,22
2023-02-01,Store-3,Jeans,17
2023-02-01,Store-3,Tshirt,21
2023-02-01,Store-3,Scarf,19
2023-02-02,Store-1,Jacket,38
2023-02-02,Store-1,Sweater,29
2023-02-02,Store-1,Boots,24
2023-02-02,Store-1,Jeans,17
2023-02-02,Store-1,Tshirt,25
2023-02-02,Store-1,Scarf,23
2023-02-02,Store-2,Jacket,39
2023-02-02,Store-2,Sweater,36
2023-02-02,Store-2,Boots,24
2023-02-02,Store-2,Jeans,21
2023-02-02,Store-2,Tshirt,27
2023-02-02,Store-2,Scarf,22
2023-02-02,Store-3,Jacket,30
2023-02-02,Store-3,Sweater,26
2023-02-02,Store-3,Boots,21
2023-02-02,Store-3,Jeans,18
2023-02-02,Store-3,Tshirt,21
2023-02-02,Store-3,Scarf,19
2023-02-03,Store-1,Jacket,37
2023-02-03,Store-1,Sweater,33
2023-02-03,Store-1,Boots,22
2023-02-03,Store-1,Jeans,20
2023-02-03,Store-1,Tshirt,21
2023-02-03,Store-1,Scarf,21
2023-02-03,Store-2,Jacket,41
2023-02-03,Store-2,Sweater,34
2023-02-03,Store-2,Boots,24
2023-02-03,Store-2,Jeans,19
2023-02-03,Store-2,Tshirt,29
2023-02-03,Store-2,Scarf,23
2023-02-03,Store-3,Jacket,31
2023-02-03,Store-3,Sweater,28
2023-02-03,Store-3,Boots,22
2023-02-03,Store-3,Jeans,15
2023-02-03,Store-3,Tshirt,20
2023-02-03,Store-3,Scarf,21
2023-02-04,Store-1,Jacket,41
2023-02-04,Store-1,Sweater,31
2023-02-04,Store-1,Boots,27
2023-02-04,Store-1,Jeans,21
2023-02-04,Store-1,Tshirt,28
2023-02-04,Store-1,Scarf,25
2023-02-04,Store-2,Jacket,46
2023-02-04,Store-2,Sweater,34
2023-02-04,Store-2,Boots,27
2023-02-04,Store-2,Jeans,24
2023-02-04,Store-2,Tshirt,27
2023-02-04,Store-2,Scarf,27
2023-02-04,Store-3,Jacket,37
2023-02-04,Store-3,Sweater,36
2023-02-04,Store-3,Boots,29
2023-02-04,Store-3,Jeans,20
2023-02-04,Store-3,Tshirt,26
2023-02-04,Store-3,Scarf,25
2023-02-05,Store-1,Jacket,42
2023-02-05,Store-1,Sweater,32
2023-02-05,Store-1,Boots,25
2023-02-05,Store-1,Jeans,21
2023-02-05,Store-1,Tshirt,26
2023-02-05,Store-1,Scarf,25
2023-02-05,Store-2,Jacket,44
2023-02-05,Store-2,Sweater,36
2023-02-05,Store-2,Boots,32
2023-02-05,Store-2,Jeans,26
2023-02-05,Store-2,Tshirt,30
2023-02-05,Store-2,Scarf,25
2023-02-05,Store-3,Jacket,39
2023-02-05,Store-3,Sweater,30
2023-02-05,Store-3,Boots,29
2023-02-05,Store-3,Jeans,21
2023-02-05,Store-3,Tshirt,24
2023-02-05,Store-3,Scarf,25
2023-02-06,Store-1,Jacket,37
2023-02-06,Store-1,Sweater,31
2023-02-06,Store-1,Boots,22
2023-02-06,Store-1,Jeans,19
2023-02-06,Store-1,Tshirt,25
2023-02-06,Store-1,Scarf,20
2023-02-06,Store-2,Jacket,38
2023-02-06,Store-2,Sweater,33
2023-02-06,Store-2,Boots,26
2023-02-06,Store-2,Jeans,22
2023-02-06,Store-2,Tshirt,27
2023-02-06,Store-2,Scarf,21
2023-02-06,Store-3,Jacket,33
2023-02-06,Store-3,Sweater,31
2023-02-06,Store-3,Boots,24
2023-02-06,Store-3,Jeans,18
2023-02-06,Store-3,Tshirt,20
2023-02-06,Store-3,Scarf,19
2023-02-07,Store-1,Jacket,36
2023-02-07,Store-1,Sweater,31
2023-02-07,Store-1,Boots,24
2023-02-07,Store-1,Jeans,20
2023-02-07,Store-1,Tshirt,23
2023-02-07,Store-1,Scarf,21
2023-02-07,Store-2,Jacket,40
2023-02-07,Store-2,Sweater,31
2023-02-07,Store-2,Boots,26
2023-02-07,Store-2,Jeans,23
2023-02-07,Store-2,Tshirt,26
2023-02-07,Store-2,Scarf,21
2023-02-07,Store-3,Jacket,34
2023-02-07,Store-3,Sweater,31
2023-02-07,Store-3,Boots,24
2023-02-07,Store-3,Jeans,16
2023-02-07,Store-3,Tshirt,21
2023-02-07,Store-3,Scarf,19
2023-02-08,Store-1,Jacket,35
2023-02-08,Store-1,Sweater,28
2023-02-08,Store-1,Boots,22
2023-02-08,Store-1,Jeans,20
2023-02-08,Store-1,Tshirt,24
2023-02-08,Store-1,Scarf,23
2023-02-08,Store-2,Jacket,42
2023-02-08,Store-2,Sweater,37
2023-02-08,Store-2,Boots,27
2023-02-08,Store-2,Jeans,22
2023-02-08,Store-2,Tshirt,25
2023-02-08,Store-2,Scarf,23
2023-02-08,Store-3,Jacket,33
2023-02-08,Store-3,Sweater,26
2023-02-08,Store-3,Boots,24
2023-02-08,Store-3,Jeans,18
2023-02-08,Store-3,Tshirt,23
2023-02-08,Store-3,Scarf,21
2023-02-09,Store-1,Jacket,38
2023-02-09,Store-1,Sweater,32
2023-02-09,Store-1,Boots,22
2023-02-09,Store-1,Jeans,19
2023-02-09,Store-1,Tshirt,21
2023-02-09,Store-1,Scarf,23
2023-02-09,Store-2,Jacket,39
2023-02-09,Store-2,Sweater,34
2023-02-09,Store-2,Boots,23
2023-02-09,Store-2,Jeans,21
2023-02-09,Store-2,Tshirt,24
2023-02-09,Store-2,Scarf,24
2023-02-09,Store-3,Jacket,31
2023-02-09,Store-3,Sweater,27
2023-02-09,Store-3,Boots,22
2023-02-09,Store-3,Jeans,17
2023-02-09,Store-3,Tshirt,20
2023-02-09,Store-3,Scarf,19
2023-02-10,Store-1,Jacket,32
2023-02-10,Store-1,Sweater,32
2023-02-10,Store-1,Boots,25
2023-02-10,Store-1,Jeans,19
2023-02-10,Store-1,Tshirt,25
2023-02-10,Store-1,Scarf,22
2023-02-10,Store-2,Jacket,40
2023-02-10,Store-2,Sweater,36
2023-02-10,Store-2,Boots,28
2023-02-10,Store-2,Jeans,20
2023-02-10,Store-2,Tshirt,26
2023-02-10,Store-2,Scarf,22
2023-02-10,Store-3,Jacket,31
2023-02-10,Store-3,Sweater,31
2023-02-10,Store-3,Boots,20
